review,sentiment,predicted,label,rating
boyfriend christmas love,0.6369,1,1.0,5.0
extremely pleased purchase,0.4927,1,1.0,5.0
perfect gift golf lover,0.886,1,1.0,5.0
get christmas gift wife love perfect kitchen utensil,0.8957,1,1.0,5.0
great product,0.6249,1,1.0,5.0
perfect,0.5719,1,1.0,5.0
use personalize dog feeder husky want make sure bend way eat dog feeder sturdy nice looking sometimes hard keep water wood sloppy drinker really glad purchase,0.807,1,1.0,5.0
nose wow good one ver truly think like describe sooo easy put highly recommend,0.9501,1,1.0,5.0
el dije hermoso pero el aro de donde se cuelga fatal de pobre calidad además si la fig del cubo de metatron es dorado porque el aro es plateado hay que cuidar la calidad de lo que venden gracia,-0.5423,-1,,
glass quality feel good hand solid order 2nd one already get compliment friend,0.9186,1,1.0,5.0
thoughtfulpersonable gift man would recommend,0.6597,1,1.0,5.0
love first targus jewelry fall,0.6369,1,1.0,5.0
buy gift mother early mother day gift daughter love already get compliment absolutely stunning make beautiful gift pleased thank,0.9808,1,1.0,5.0
funny game def ice breaker game versatile kid friendly adult marker include stain card easy erase card thin easy shuffle bend quickly handle care would recommend purchase dry erase maker since one include,0.9485,1,1.0,5.0
nice print vibrant color unique,0.7351,1,1.0,5.0
quick delivery measurement specify look really good great supplier deal,0.8211,1,1.0,5.0
perfection beautiful,0.8225,1,1.0,5.0
think come set board,0.0,1,1.0,5.0
lovely gift husband lightweight fit perfectly wallet,0.9246,1,1.0,5.0
love print great quality,0.8519,1,1.0,5.0
great product fast shipping receive soon expect gift family chicken farmer love,0.9042,1,1.0,5.0
love,0.6369,1,1.0,5.0
good quality estimate shipping week literally take like day ship get within week definitely recommend,0.8625,1,1.0,5.0
work,0.0,1,1.0,5.0
light easy put close,0.4404,1,1.0,5.0
well picture,0.2732,1,1.0,5.0
initially receive wrong size heartbroken hormone make everything tad dramatic seller contact back really fast kind enough send correct size additional charge even though nice againhormone love thin keep mind issue sturdy eye color want eternally grateful seller creator item help make baby girl nursery dream come true definitely recommend,0.9537,1,1.0,5.0
perfect look,0.5719,1,1.0,5.0
great product turn tour finger green plus book,0.6249,1,1.0,5.0
buy friend gift super cute,0.9186,1,1.0,5.0
eye piece month start christmas shopping finally give buy beautiful piece,0.5994,1,1.0,5.0
one good stuff order great,0.7906,1,1.0,5.0
excited selling one great name come second fast get less week order couple another place take month arrive would give star could highly recommend,0.8516,1,1.0,5.0
love new pool sign quality amazing,0.8402,1,1.0,5.0
exactly need fast easy fit style perfect,0.8442,1,1.0,5.0
happy see quality address plaque order two plaque one brick mailbox one matching brick column easy install concrete screw mortar easy find house look wonderful pleased,0.9403,1,1.0,5.0
absolutely love perfect wedding great quality pleased turn arrive quickly package care get break would definitely order great guest book alternative,0.9787,1,1.0,5.0
nice scent take everywhere go calming,0.6705,1,1.0,5.0
beautiful love,0.8442,1,1.0,5.0
lovely bracelet stunning color jewelry fan ideal alternative,0.9022,1,1.0,5.0
order little bee go delicate gold chain purchase glad even cut photo nice even expect,0.5627,1,1.0,5.0
sister love personalize gift great craftsmanship,0.9042,1,1.0,5.0
craftsmanship beautiful also nice weight flimsy nicely price quality love clasp,0.93,1,1.0,5.0
always hard time figure gift get daughter boyfriend perfect love star war music put print simple black frame look great look fantastic daughter oldfashione decor like tastefully represent,0.9493,1,1.0,5.0
love console narrow fit perfectly space love fact natural wood finish,0.9559,1,1.0,5.0
great nice thick leather pretty design fast shipping comment customer service two barrette come three stick course stick break become lose render hair holder useless really impressed small touch also put darling smiley face keychain package cute fine hair far hold everything place perfectly highly recommend product seller thank,0.9814,1,1.0,5.0
awesome,0.6249,1,1.0,5.0
pretty feel nice heavy good way tell go last go make great gift,0.9423,1,1.0,5.0
little bum real record look amazing,0.5859,1,1.0,5.0
beautiful perfect bathtub area,0.8225,1,1.0,5.0
label nice need read carefully realize get sanitizing bottle next time read description close pretty pricey one sheet label,0.7579,1,1.0,5.0
impressed look right package smooth great quality sturdy would buy,0.802,1,1.0,5.0
easy assemble unstre little bundle stuff back jar charge afternoon last night,0.4404,1,1.0,5.0
quality size detail exactly see online heavy easy hang wall love,0.7964,1,1.0,5.0
fiance love first one gift commemorate special event life currently wrap underneath tree two major event,0.8689,1,1.0,5.0
perfect,0.5719,1,1.0,5.0
well make beautiful picture due justice love,0.9274,1,1.0,5.0
excellent quality ship fast husband love 4th wedding anniversary look amazing frame,0.9136,1,1.0,5.0
carnelian necklace really cute receive lot compliment since wear size stone perfect neither big small fact raw make elegant highly recommend necklace anyone plan buy crystal necklace,0.9431,1,1.0,5.0
pretty,0.4939,1,1.0,5.0
comfortable,0.5106,1,1.0,5.0
opal look lovely daughter nose,0.5859,1,1.0,5.0
budgeting planner try happy planner favorite option feature needwant look one great page well think make easy keep finance order paper heavyweight really like save mine yearly overview money go page hold multiple flipping review definitely purchase,0.9752,1,1.0,5.0
see lot complaint sharp edge yes clean cut crisp sharp kid mean decorative love mine clean crisp easy install need ill definitely order also come well pack fast anticipate satisfied,0.9403,1,1.0,5.0
give gift love,0.7964,1,1.0,5.0
outstanding customized sign look great,0.8442,1,1.0,5.0
absolutely gorgeous daughter two year old revamp bedroom mostly old furniture print look perfect new bed excited big girl room,0.8858,1,1.0,5.0
perfect great quality,0.8316,1,1.0,5.0
well expect,0.2732,1,1.0,5.0
cute magnet able personalize daughter love,0.802,1,,
put bathroom office patient love especially flush forewarn order buy picture come frame purchase frame put together know read description order definitely great buy,0.9001,1,1.0,5.0
beautiful love,0.8442,1,1.0,5.0
love earring perfect size really well craft,0.8832,1,1.0,5.0
pretty honestly boyfriend love,0.886,1,1.0,5.0
amazing gift cute great quality really good keepsake,0.9516,1,1.0,5.0
small cute,0.4588,1,1.0,5.0
everything come exactly expect quick original ship date,0.3182,1,1.0,5.0
love nose ring tiny cute always want one perfect get one every color,0.9042,1,1.0,5.0
love,0.6369,1,1.0,5.0
cute dainty mom love,0.802,1,1.0,5.0
love quote,0.6369,1,1.0,5.0
little nik lettering letter know font mean leave look bad noticeable overall really happy product would buy,0.0754,1,1.0,5.0
could find sign saying want great job look fantastic also well make,0.8779,1,1.0,5.0
love earring light weight color pretty great,0.91,1,1.0,5.0
like,0.3612,1,1.0,5.0
recieve dog tag today love come perfectly inscription ask,0.8555,1,1.0,5.0
great piece decor awesome price come quickly exactly order list state type exactly want come want,0.8689,1,1.0,5.0
awesome love ir use every night,0.8519,1,1.0,5.0
sure boyfriend love valentine day great buy guy,0.891,1,1.0,5.0
